price,crime_rate,resid_area,air_qual,room_num,age,dist1,dist2,dist3,dist4,teachers,poor_prop,airport,n_hos_beds,n_hot_rooms,waterbody,rainfall,bus_ter,parks
40.9,3.15226,42.96,0.581,6.142,92.2,2.36,2.78,2.26,2.59,22.6,13.71,YES,6.9335,13.4804,River,54,YES,0.07938
42.8,0.66772,43.18,0.6968,6.347,14.7,9.39,9.4,9.5,9.66,23.6,15.63,NO,5.2558,11.8125,Lake,41,YES,0.044102
32.9,3.42044,48.39,0.4051,5.303,53.1,4.45,4.17,4.32,4.45,19.9,24.3,NO,6.989,14.12,None,46,YES,0.069137
42.1,0.22481,58.29,0.718,5.919,26.0,7.57,7.84,7.58,7.63,22.8,23.72,YES,7.5585,11.0204,River,38,YES,0.054312
35.2,0.0934,37.22,0.8566,6.378,8.7,1.18,1.21,1.1199999999999999,1.38,19.8,4.31,NO,7.4165,12.3452,None,31,YES,0.065763
37.2,0.89394,33.65,0.7063,5.494,8.4,2.85,3.02,2.88,3.16,24.6,15.04,YES,6.9139,14.0047,None,39,YES,0.036447
38.0,1.86317,35.92,0.8368,,21.6,5.38,5.62,4.9,4.99,22.5,8.0,YES,9.1957,10.9008,River,20,YES,0.031015
36.8,6.08106,56.61,0.762,5.88,87.3,8.9,8.97,8.530000000000001,8.64,20.3,7.17,YES,5.7266,10.5493,Lake and River,40,YES,0.084574
40.7,3.89671,49.37,0.4603,6.096,31.8,5.75,5.63,5.87,6.01,19.9,29.3,NO,7.5285,14.4184,Lake and River,20,YES,0.046178
36.0,4.07261,38.58,0.8512,5.879,95.3,9.37,9.569999999999999,9.58,9.309999999999999,19.3,3.38,YES,5.3102,11.7146,None,29,YES,0.079181
46.4,1.66273,54.48,0.4332,7.597,60.3,5.35,5.35,5.17,5.22,22.9,15.83,NO,5.3558,13.4194,Lake and River,51,YES,0.089961
45.5,1.27365,55.84,0.667,,46.5,5.41,5.55,5.36,5.16,19.5,7.55,NO,7.8693,10.1267,Lake,58,YES,0.042686
35.5,1.39106,55.4,0.4711,,60.1,2.08,1.6500000000000001,2.14,1.97,22.2,31.02,YES,7.8301,13.4502,River,41,YES,0.04591
47.7,13.18219,57.57,0.4059,6.876,54.1,8.22,8.31,8.360000000000001,7.94,19.9,20.38,YES,9.3902,11.5805,None,37,YES,0.069772
32.7,0.12281,37.57,0.611,5.445,77.1,3.22,3.0900000000000003,2.81,3.64,22.6,9.64,NO,7.7894,10.2787,Lake,51,YES,0.087927
44.3,6.05293,52.65,0.5475,6.446,31.8,9.1,9.43,8.92,9.1,23.7,18.58,YES,9.799,13.0491,Lake and River,46,YES,0.084949
40.4,2.59306,43.82,0.643,4.928,38.5,9.2,9.319999999999999,9.129999999999999,9.19,23.4,26.14,NO,5.2435,11.204,Lake,47,YES,0.060173
27.0,1.73205,55.26,0.6886,5.37,89.9,9.49,9.540000000000001,9.63,9.61,23.3,33.62,YES,5.49,11.934,Lake and River,37,YES,0.077707
39.0,3.87576,51.85,0.4219,6.438,94.9,5.68,5.779999999999999,6.18,5.87,19.3,9.27,YES,5.2203,10.4029,None,58,YES,0.038145
46.4,2.0005,53.29,0.4615,6.817,89.8,7.09,6.89,7.04,7.28,18.6,31.24,NO,5.9264,10.7358,Lake,48,YES,0.088646
41.3,6.20072,49.68,0.6793,6.42,44.8,8.01,8.33,7.7299999999999995,8.22,22.9,32.83,YES,7.7064,11.4899,River,37,YES,0.087861
42.6,6.92889,35.32,0.5716,6.219,79.1,2.18,2.58,2.2600000000000002,2.0500000000000003,20.6,32.24,YES,8.2279,10.4488,None,27,YES,0.039824
38.0,1.6431,46.35,0.7646,6.089,50.3,6.41,6.49,6.67,6.3500000000000005,21.0,22.97,YES,5.2279,14.5541,Lake,50,YES,0.047965
36.7,0.97232,59.54,0.7261,5.265,52.3,1.31,1.6300000000000001,1.33,1.46,18.2,22.78,YES,9.7299,10.0302,Lake,53,YES,0.036009
38.4,2.69204,58.12,0.8228,5.796,24.4,5.48,5.37,5.300000000000001,5.37,19.8,15.31,YES,9.2108,12.4193,Lake and River,26,YES,0.046303
44.6,7.30367,31.3,0.7462,5.978,61.2,2.39,2.23,2.58,2.39,18.2,26.83,NO,6.4831,10.6162,None,55,YES,0.078957
46.2,0.70968,34.94,0.615,7.04,22.7,2.65,2.6599999999999997,2.78,2.73,24.2,19.53,YES,5.3859,11.5384,None,37,YES,0.052699
44.1,2.92626,33.95,0.7365,6.541,36.5,4.29,4.38,4.08,4.45,19.7,24.36,YES,5.8494,14.6303,None,57,YES,0.035304
33.7,2.99543,51.78,0.5377,5.066,86.2,4.89,4.81,4.97,4.529999999999999,21.9,16.14,NO,5.6347,10.8085,None,28,YES,0.050534
40.7,3.96279,54.53,0.5532,6.527,24.7,6.61,6.720000000000001,6.8100000000000005,6.75,18.3,26.14,YES,5.6164,14.8292,Lake and River,28,YES,0.088883
38.4,0.4232,36.41,0.7945,6.03,11.8,1.67,1.73,1.91,1.6199999999999999,22.7,29.21,YES,7.5928,11.029,River,27,YES,0.067781
40.7,3.77449,45.18,0.6232,5.826,11.6,5.53,5.33,5.5200000000000005,5.67,20.3,6.83,NO,6.2292,13.7078,None,54,YES,0.05497
42.0,7.19176,55.22,0.7992,6.728,94.4,2.64,2.74,2.5700000000000003,2.8000000000000003,24.3,29.49,NO,6.7907,12.7334,Lake and River,37,YES,0.039992
46.3,0.59419,51.98,0.8112,7.022,53.2,6.17,6.34,6.42,6.49,24.2,19.83,NO,9.9475,14.4224,River,24,YES,0.089171
53.1,0.81363,46.27,0.8288,6.952,43.9,6.74,6.7700000000000005,6.5,7.01,20.3,29.87,NO,8.4216,12.77,River,33,YES,0.079251
42.0,10.66253,47.71,0.8583,5.713,82.0,6.01,6.24,6.1,6.279999999999999,24.3,16.23,YES,9.7449,12.6728,Lake and River,47,YES,0.046889
39.1,0.59893,45.25,0.6155,6.084,84.4,7.64,7.3999999999999995,7.369999999999999,7.93,25.0,14.51,NO,5.7128,10.9773,None,49,YES,0.034204
47.5,5.78037,38.93,0.5594,6.532,36.6,4.02,4.109999999999999,4.2299999999999995,4.079999999999999,23.8,32.2,YES,6.9107,10.8311,River,23,YES,0.033398
43.3,2.03346,46.95,0.6911,6.983,70.9,7.89,7.659999999999999,7.84,7.8999999999999995,23.9,10.29,YES,7.7737,14.5824,None,58,YES,0.037223
31.7,0.85199,50.67,0.5856,5.965,78.3,4.89,4.67,5.14,5.06,19.7,29.86,YES,5.3838,11.6392,None,39,YES,0.064846
36.8,6.13802,56.2,0.7005,6.17,67.2,5.36,5.23,5.46,5.510000000000001,22.0,17.97,YES,5.0209,11.8604,Lake,44,YES,0.085726
30.1,1.76801,49.09,0.7528,5.526,19.4,6.83,6.64,6.59,6.7700000000000005,18.5,18.97,YES,8.3522,13.7991,None,47,YES,0.059805
35.9,2.16969,52.83,0.7442,5.463,88.2,1.17,1.0599999999999998,1.45,1.25,18.7,12.18,NO,8.2091,11.6941,Lake,31,YES,0.080577
44.4,1.33527,34.8,0.5873,6.869,56.2,6.89,6.85,7.199999999999999,6.88,25.0,20.91,YES,7.0539,14.7603,River,21,YES,0.056753
53.0,2.69646,43.85,0.4834,7.249,31.8,6.57,6.74,6.75,6.4,20.3,12.73,YES,7.4482,13.6896,Lake and River,33,YES,0.072515
42.6,0.53567,30.28,0.6153,6.25,45.4,3.79,3.73,3.64,4.05,23.2,3.3,YES,7.0772,12.9871,Lake,41,YES,0.073912
44.1,1.48821,37.4,0.4713,7.002,8.6,1.77,1.45,1.71,1.78,23.6,10.98,YES,5.12,14.4045,Lake and River,50,YES,0.040438
46.1,10.46147,51.79,0.845,6.553,17.1,1.82,2.0500000000000003,1.85,2.23,24.0,2.21,NO,6.6769,10.248,River,42,YES,0.051673
282.4,0.89576,59.75,0.5729,5.848,77.7,9.31,9.14,9.17,8.98,25.0,34.29,YES,5.8854,11.2853,None,39,YES,0.068238
43.7,3.20777,32.98,0.4772,6.553,5.0,7.2,7.19,7.54,7.09,19.7,33.87,YES,5.4921,12.3252,River,57,YES,0.034242
50.0,1.17997,42.04,0.4127,7.377,44.6,2.14,2.23,2.17,2.15,18.3,15.04,YES,9.7836,11.1349,Lake and River,23,YES,0.051692
35.5,4.45468,54.0,0.7229,6.275,54.6,4.21,4.25,3.67,4.44,20.9,26.04,NO,7.9968,13.7195,River,34,YES,0.062088
51.6,0.4208,36.12,0.7185,7.395,10.2,6.33,6.55,6.4,6.41,18.9,13.41,YES,8.6433,14.596,None,43,YES,0.089773
33.7,10.50183,46.65,0.5703,4.466,97.4,8.52,8.62,8.45,8.58,18.2,24.15,YES,6.5768,12.1189,River,44,YES,0.058472
42.7,1.81425,51.99,0.4359,6.875,26.5,1.39,1.22,1.38,1.16,20.5,28.58,YES,6.9657,11.7107,None,20,YES,0.078963
44.3,0.80776,48.48,0.6048,6.361,33.9,3.13,3.57,3.06,2.9,23.5,33.24,YES,6.1846,14.8078,Lake,26,YES,0.055924
49.5,0.22901,35.64,0.5556,6.091,33.9,9.01,9.049999999999999,9.17,9.07,22.0,15.21,YES,5.4848,12.2243,Lake and River,50,YES,0.077783
42.5,0.55811,40.66,0.7386,6.364,26.9,1.08,1.05,1.3,0.81,20.2,27.85,NO,5.8952,12.4452,None,31,YES,0.065725
35.5,2.2005,53.51,0.7029,4.909,5.1,2.81,3.0,2.87,2.7,22.6,10.78,NO,8.9876,11.7582,None,24,YES,0.083196
38.9,1.23296,46.63,0.5823,6.146,74.3,9.63,9.680000000000001,9.56,9.73,19.6,34.68,NO,8.3877,14.5477,River,57,YES,0.054657
39.4,5.29623,30.16,0.5089,6.55,96.9,6.52,6.6,6.51,6.319999999999999,18.1,2.85,YES,7.7346,12.8448,Lake,31,YES,0.066258
50.0,1.69103,52.83,0.894,7.335,26.3,3.36,3.86,3.36,3.6799999999999997,23.4,21.92,YES,7.3754,13.8109,None,58,YES,0.067801
36.3,0.85791,31.06,0.627,5.937,68.0,1.6,1.54,1.4400000000000002,1.84,22.4,23.76,YES,9.6122,14.059,Lake,37,YES,0.055043
39.0,2.8803,52.37,0.7441,5.734,75.5,1.25,1.19,1.37,0.94,23.3,24.71,NO,5.3637,11.7092,Lake,21,YES,0.038659
37.8,3.68047,36.07,0.4703,5.949,85.6,3.2,3.22,3.29,3.0100000000000002,18.3,5.97,NO,6.403,12.1685,River,29,YES,0.035614
46.6,0.54832,58.74,0.6428,6.941,45.1,8.93,9.14,9.24,8.469999999999999,23.9,32.97,NO,6.7497,14.2424,None,34,YES,0.031
44.0,0.5504,41.04,0.4138,6.53,33.8,4.74,4.44,4.99,4.58,22.3,7.98,YES,8.9121,11.8163,River,49,YES,0.082412
43.8,0.11208,39.81,0.6527,5.929,35.9,7.48,7.090000000000001,7.340000000000001,7.630000000000001,21.9,22.55,YES,9.9626,13.9697,Lake and River,36,YES,0.044188
41.3,3.99999,34.47,0.882,6.659,72.7,9.26,9.14,9.42,9.18,22.4,9.35,YES,6.2034,14.705,Lake and River,23,YES,0.04269
40.8,3.27019,39.17,0.5921,6.368,82.6,4.67,4.34,4.4799999999999995,4.76,24.1,12.14,NO,9.3715,13.1161,None,26,YES,0.074162
41.0,1.93096,56.3,0.4195,6.978,22.3,2.72,2.64,2.8600000000000003,2.4200000000000004,22.1,20.03,NO,9.1531,13.7081,Lake,50,YES,0.049201
37.3,5.57698,59.89,0.4155,5.809,40.2,5.65,5.75,5.550000000000001,5.8100000000000005,22.1,15.77,NO,6.1233,14.0255,None,58,YES,0.060363
41.9,4.91459,41.05,0.594,6.071,90.7,9.17,8.99,8.97,9.06,24.9,7.29,YES,6.9967,14.2252,None,53,YES,0.039751
43.2,2.64099,43.46,0.48,6.026,81.6,8.24,7.95,8.3,8.24,23.3,7.64,YES,7.0484,11.9753,Lake and River,25,YES,0.087585
32.7,6.08103,51.66,0.4117,5.276,98.6,1.59,1.6,1.06,1.57,21.1,15.8,NO,9.8911,10.2563,Lake and River,57,YES,0.081095
46.0,0.69142,56.59,0.7781,6.507,76.7,7.23,7.4,6.880000000000001,6.98,23.0,26.99,NO,5.9045,12.0094,Lake,53,YES,0.081827
47.8,0.35608,47.79,0.6293,,42.4,6.15,5.8100000000000005,6.11,5.92,20.7,31.63,YES,8.9958,13.3688,Lake,34,YES,0.054406
43.2,0.9431,41.75,0.5446,6.304,61.1,9.17,9.33,9.19,9.36,19.6,4.78,YES,6.671,12.2518,None,33,YES,0.075742
48.2,0.17634,42.38,0.85,,67.8,2.1,2.2600000000000002,2.0300000000000002,2.18,22.2,14.97,YES,8.6544,13.7448,River,25,YES,0.038633
33.4,2.27254,50.87,0.4581,5.309,12.5,5.81,6.0,5.489999999999999,6.02,24.5,5.31,YES,7.1001,11.7849,None,56,YES,0.030517
35.1,8.27514,30.1,0.878,6.006,56.7,8.92,9.16,8.76,8.98,24.5,2.55,YES,7.8918,13.1737,Lake,51,YES,0.031198
33.2,0.12042,48.59,0.557,6.06,72.4,4.69,5.130000000000001,4.7700000000000005,4.720000000000001,20.4,23.84,NO,9.1631,10.9321,River,22,YES,0.065196
44.7,0.3907,40.66,0.8442,5.738,20.9,5.34,5.27,5.46,4.99,21.7,21.88,YES,9.0208,13.7468,Lake and River,22,YES,0.057324
43.6,1.80553,53.83,0.7015,6.187,79.2,1.63,1.65,1.63,1.5799999999999998,19.5,7.38,YES,9.3321,12.7285,Lake,41,YES,0.061081
42.7,8.14863,32.79,0.8134,6.583,60.5,3.5,3.42,3.73,3.49,25.0,9.72,YES,5.2981,11.0203,Lake,41,YES,0.030448
49.2,1.14008,47.65,0.892,7.62,95.5,3.92,3.92,4.0,4.31,24.9,2.78,NO,8.4603,11.4596,River,29,YES,0.055361
37.6,2.12317,44.43,0.5442,6.422,9.0,9.51,9.82,9.36,9.65,22.5,29.55,NO,5.6999,13.743,Lake,22,YES,0.073084
52.2,0.12739,49.27,0.8806,6.48,30.2,3.54,3.27,3.48,3.85,23.6,34.16,YES,7.0791,12.413,Lake,31,YES,0.056562
41.8,0.48171,31.95,0.5947,6.248,62.1,5.15,4.98,4.87,5.2700000000000005,23.0,6.47,NO,7.7429,11.0802,Lake,48,YES,0.073933
35.2,12.94425,47.4,0.5928,4.957,33.2,7.04,7.32,7.0200000000000005,6.9,22.2,9.64,NO,7.0137,14.8364,Lake,36,YES,0.043981
44.3,10.06741,46.84,0.5702,6.281,72.9,2.46,2.66,2.68,2.48,18.4,30.66,YES,7.5981,13.5756,Lake,26,YES,0.078789
43.6,0.01486,46.82,0.6707,6.342,77.1,5.38,5.31,5.52,5.43,21.2,32.57,YES,9.9826,14.7857,Lake,32,YES,0.065306
51.0,9.09792,48.1,0.4771,8.024,14.7,7.65,7.82,7.930000000000001,7.46,22.7,15.85,NO,5.6761,12.1355,Lake,21,YES,0.042646
37.7,3.05763,50.29,0.6769,6.165,53.8,8.8,8.870000000000001,8.74,8.72,22.7,3.67,NO,8.3773,12.3755,Lake,23,YES,0.044203
44.4,6.073,54.15,0.6709,6.511,53.3,6.64,6.9399999999999995,6.91,6.6,20.6,3.3,NO,6.98,14.4898,Lake and River,29,YES,0.067682
48.9,1.81948,38.09,0.781,6.276,40.1,7.02,7.029999999999999,6.9799999999999995,7.34,24.6,20.94,NO,5.665,12.6252,Lake,58,YES,0.079796
42.8,2.17451,54.75,0.8168,5.482,93.6,2.14,2.35,2.43,1.7200000000000002,19.2,14.97,NO,5.7937,13.5364,Lake and River,43,YES,0.054938
51.9,2.01326,44.95,0.6202,7.1,83.6,9.51,10.04,9.51,9.75,21.5,2.95,YES,9.7464,11.2609,Lake and River,36,YES,0.045498
42.1,3.29762,32.31,0.5512,6.826,71.2,2.19,2.31,2.33,2.0,22.8,21.25,YES,9.398,12.2336,None,25,YES,0.082021
40.3,0.45125,31.76,0.5297,6.854,72.9,7.97,7.9799999999999995,8.27,7.699999999999999,22.9,2.37,YES,9.5352,10.6172,None,38,YES,0.070156
37.8,0.0913,40.03,0.4973,5.663,48.9,3.38,3.52,3.34,3.62,22.5,27.98,YES,9.9577,11.0299,Lake and River,24,YES,0.056885
46.6,1.1042,53.55,0.4288,7.282,92.5,9.4,9.33,9.44,9.55,19.9,12.11,NO,6.0416,10.0047,Lake and River,51,YES,0.059274
41.0,3.6591,51.23,0.5712,5.319,71.0,7.48,7.960000000000001,7.74,7.73,19.1,3.33,NO,6.7772,10.1963,Lake,29,YES,0.042255
36.8,0.67639,53.66,0.5351,,74.3,7.78,7.82,7.75,7.94,22.5,21.42,NO,8.3461,14.8864,None,28,YES,0.067608
55.3,3.35736,45.52,0.8832,7.833,86.9,2.97,2.9200000000000004,2.71,3.3800000000000003,22.2,15.12,YES,7.419,11.2118,River,46,YES,0.051525
37.4,10.51089,43.21,0.6789,5.607,31.0,4.99,4.82,5.42,5.1000000000000005,19.3,34.14,NO,7.0919,13.3166,None,32,YES,0.089739
37.8,0.29582,34.42,0.5736,5.904,81.7,6.56,6.779999999999999,6.47,6.529999999999999,22.9,19.96,YES,6.7891,14.1955,Lake and River,38,YES,0.058811
37.8,3.34974,39.85,0.6902,6.37,23.5,7.93,8.1,7.96,8.0,21.2,11.08,YES,7.9689,12.7533,Lake and River,40,YES,0.059153
33.1,1.75961,43.02,0.4696,5.948,37.8,1.94,1.8399999999999999,2.17,2.19,22.7,25.41,NO,7.878,10.7657,Lake,43,YES,0.063951
39.4,6.07809,32.66,0.622,5.215,36.9,9.66,9.78,9.540000000000001,9.5,23.9,10.96,NO,5.8073,13.6406,Lake,57,YES,0.085005
42.0,0.58494,36.62,0.7131,6.348,98.0,9.01,8.709999999999999,8.81,8.879999999999999,19.2,31.84,NO,7.3587,13.0013,None,23,YES,0.078049
32.6,3.53907,47.95,0.6444,5.556,86.4,3.43,3.47,3.48,3.37,18.1,14.37,YES,7.7674,13.6563,Lake,43,YES,0.057068
38.0,5.46261,52.07,0.6009,6.632,71.6,8.4,8.49,8.040000000000001,7.98,23.5,20.15,YES,7.8514,13.8487,River,54,YES,0.073122
36.9,8.6803,59.95,0.8969,5.656,74.1,5.66,6.0,5.6000000000000005,5.69,22.3,3.67,YES,6.0505,14.8771,River,22,YES,0.065174
53.6,3.44891,57.99,0.8402,7.385,58.4,5.16,5.01,5.21,4.78,22.9,16.06,YES,8.7114,12.8678,Lake,23,YES,0.059542
37.7,2.06254,49.28,0.7117,5.752,95.0,3.83,3.5700000000000003,3.7800000000000002,3.84,23.9,29.47,NO,5.126,11.7082,River,56,YES,0.041539
34.4,2.8858,42.64,0.6847,6.075,52.1,6.23,6.050000000000001,5.920000000000001,6.4,23.6,28.59,NO,6.7742,13.2423,River,59,YES,0.057836
43.4,6.0955,49.09,0.7103,6.869,41.1,7.57,7.300000000000001,7.890000000000001,7.470000000000001,24.7,9.4,NO,8.9011,10.3422,None,54,YES,0.044749
36.1,2.53617,53.57,0.5007,5.438,20.5,4.7,4.970000000000001,4.72,5.04,21.8,9.46,YES,7.8195,14.487,River,50,YES,0.084891
31.5,0.09257,33.55,0.5976,6.459,79.7,6.66,6.97,6.95,6.37,21.4,28.97,NO,6.3058,10.5969,Lake and River,44,YES,0.050124
45.9,8.01872,42.3,0.4197,7.215,74.8,7.29,7.35,7.24,7.53,20.8,32.7,YES,8.4748,11.6392,Lake and River,59,YES,0.087136
35.0,3.50897,55.19,0.6378,5.175,41.5,7.4,7.640000000000001,7.220000000000001,7.54,19.1,5.15,NO,7.837,14.0787,None,32,YES,0.061983
44.9,3.38579,41.51,0.6715,6.429,7.4,1.47,1.5,1.52,1.13,22.0,16.85,YES,8.9812,12.9866,Lake,23,YES,0.067893
49.8,0.7288,47.16,0.5139,6.482,84.7,8.74,8.72,8.700000000000001,9.280000000000001,19.9,13.14,YES,8.6751,11.9682,None,33,YES,0.062576
48.7,3.22661,47.63,0.882,6.847,6.1,5.12,5.05,4.88,5.11,24.4,30.73,YES,8.0505,12.3672,Lake,32,YES,0.037763
36.1,1.50195,35.53,0.8547,5.434,71.9,3.36,3.3,3.65,3.1799999999999997,22.1,4.76,NO,7.4409,14.2727,Lake,46,YES,0.052549
32.5,3.16005,40.87,0.7611,5.376,97.2,3.18,2.87,3.06,2.9000000000000004,22.1,8.97,YES,5.6659,11.7,Lake,25,YES,0.035949
53.6,0.33814,40.04,0.6667,6.665,46.6,5.35,5.3999999999999995,4.9799999999999995,5.31,20.5,26.83,YES,6.3067,14.3482,Lake,36,YES,0.067377
42.8,3.21748,30.79,0.835,6.508,27.3,8.98,8.97,9.25,8.950000000000001,18.4,3.69,NO,7.0955,10.4407,Lake,55,YES,0.056812
42.4,22.32517,30.73,0.4653,6.475,72.0,4.41,4.5600000000000005,4.3100000000000005,4.43,18.2,18.25,YES,7.9965,13.884,None,59,YES,0.076679
42.6,0.14824,54.95,0.7953,6.543,82.6,7.75,7.77,7.63,7.69,21.0,16.59,YES,7.5685,14.2377,Lake,54,YES,0.043228
39.9,11.33959,38.19,0.4624,5.824,56.9,1.87,1.84,1.52,2.0,18.6,13.04,YES,6.4409,10.9091,River,36,YES,0.039874
41.7,1.56722,45.54,0.7971,6.463,96.9,5.28,5.11,5.63,5.2,22.2,15.02,YES,5.0323,12.1517,River,21,YES,0.05438
40.2,6.1381,38.96,0.5379,6.505,9.9,9.93,9.94,9.67,9.54,24.2,19.49,NO,7.4812,10.8275,Lake,32,YES,0.085595
36.8,4.57509,58.22,0.8385,5.8,53.0,7.93,8.08,7.9399999999999995,7.8999999999999995,24.2,7.33,NO,6.4281,13.533,River,21,YES,0.072625
47.9,2.51117,37.78,0.872,7.606,73.3,2.89,2.66,3.0700000000000003,2.42,22.6,20.88,YES,8.673,12.6767,Lake and River,47,YES,0.055135
41.0,4.02338,42.89,0.4744,6.632,87.0,5.51,5.529999999999999,5.59,5.58,19.5,28.58,NO,5.1197,13.1766,None,45,YES,0.061036
34.5,6.32391,56.18,0.6313,5.466,22.0,3.1,3.15,3.0900000000000003,2.9,24.0,27.09,YES,7.9241,10.9824,None,41,YES,0.035053
44.2,1.55325,55.26,0.8905,6.76,81.0,4.69,4.550000000000001,4.3500000000000005,4.720000000000001,24.2,7.08,YES,9.7074,11.0587,Lake,22,YES,0.089075
37.1,1.18818,35.58,0.6417,5.618,57.5,8.02,7.8999999999999995,7.859999999999999,8.28,19.4,6.93,YES,5.872,10.2075,Lake,54,YES,0.069984
50.3,3.30419,54.08,0.8318,6.851,42.7,7.94,7.99,7.98,7.75,23.2,10.85,YES,7.3582,11.6103,Lake and River,31,YES,0.047124
35.0,4.94837,43.75,0.6944,7.111,17.5,3.05,2.82,2.8899999999999997,3.26,20.0,13.92,YES,5.4571,12.7987,Lake,43,YES,0.065149
43.0,4.31005,44.49,0.5877,5.726,87.2,9.3,9.370000000000001,9.34,9.21,23.6,15.48,NO,8.1284,14.2897,River,24,YES,0.036569
49.9,4.7957,34.0,0.5429,6.974,19.9,6.33,6.15,6.47,6.68,25.0,24.43,NO,7.7527,13.3346,Lake and River,39,YES,0.08795
34.7,1.71589,32.42,0.5016,6.589,34.4,4.42,4.63,4.61,4.35,18.2,3.87,YES,7.0368,12.177,River,58,YES,0.040487
43.0,5.10851,51.84,0.7809,6.875,32.6,5.52,5.989999999999999,5.27,5.35,24.3,3.14,NO,7.6069,14.7656,None,58,YES,0.068882
46.7,0.38421,44.89,0.5933,7.628,87.8,6.45,6.28,6.890000000000001,6.59,22.4,14.93,NO,9.4829,13.5962,River,32,YES,0.044727
35.0,2.35901,43.11,0.6556,6.128,68.9,6.04,6.15,6.19,5.95,24.8,25.01,NO,5.9815,14.6508,None,31,YES,0.073054
35.7,0.01733,51.89,0.6462,5.772,80.7,5.38,5.2299999999999995,5.38,5.21,21.3,8.38,NO,5.1128,12.6379,River,32,YES,0.076609
33.9,1.17729,52.97,0.6886,5.677,28.8,5.54,5.75,5.76,5.44,23.9,23.17,YES,9.3083,11.2945,None,29,YES,0.070405
45.7,1.3693,34.77,0.8328,5.729,64.4,2.59,2.34,3.0599999999999996,2.58,18.4,10.57,NO,7.8856,10.2641,Lake,52,YES,0.06687
45.0,1.5134,48.31,0.8904,6.246,59.3,8.31,8.41,8.020000000000001,8.58,20.3,31.24,NO,9.4533,13.6304,River,59,YES,0.083548
